Source,Target,Weight,Type
Bronte_Jane,Bronte_Shirley,24,undirected
Bronte_Jane,Bronte_Vilette,16,undirected
Bronte_Jane,Dickens_Expectations,7,undirected
Bronte_Jane,Dickens_Oliver,4,undirected
Bronte_Jane,Dickens_Tale,4,undirected
Bronte_Jane,Twain_Prince,2,undirected
Bronte_Shirley,Bronte_Jane,24,undirected
Bronte_Shirley,Bronte_Vilette,20,undirected
Bronte_Shirley,Dickens_Expectations,4,undirected
Bronte_Shirley,Stein_Americans,1,undirected
Bronte_Shirley,Stein_Buttons,4,undirected
Bronte_Shirley,Stein_Lives,2,undirected
Bronte_Shirley,Wharton_House,1,undirected
Bronte_Vilette,Bronte_Jane,16,undirected
Bronte_Vilette,Bronte_Shirley,20,undirected
Bronte_Vilette,Dickens_Expectations,2,undirected
Bronte_Vilette,Stein_Buttons,1,undirected
Bronte_Vilette,Wharton_House,3,undirected
Bronte_Vilette,Wharton_Valley,7,undirected
Dickens_Expectations,Bronte_Jane,7,undirected
Dickens_Expectations,Bronte_Shirley,4,undirected
Dickens_Expectations,Bronte_Vilette,2,undirected
Dickens_Expectations,Dickens_Oliver,19,undirected
Dickens_Expectations,Dickens_Tale,23,undirected
Dickens_Expectations,Stein_Americans,1,undirected
Dickens_Expectations,Stein_Buttons,3,undirected
Dickens_Expectations,Twain_Huckleberry,7,undirected
Dickens_Expectations,Twain_Sawyer,5,undirected
Dickens_Oliver,Bronte_Jane,4,undirected
Dickens_Oliver,Dickens_Expectations,19,undirected
Dickens_Oliver,Dickens_Tale,18,undirected
Dickens_Oliver,Twain_Prince,1,undirected
Dickens_Tale,Bronte_Jane,4,undirected
Dickens_Tale,Dickens_Expectations,23,undirected
Dickens_Tale,Dickens_Oliver,18,undirected
Dickens_Tale,Twain_Prince,10,undirected
Fitzgerald_Damned,Fitzgerald_Gatsby,15,undirected
Fitzgerald_Damned,Fitzgerald_Tender,24,undirected
Fitzgerald_Damned,Twain_Sawyer,1,undirected
Fitzgerald_Damned,Wharton_House,1,undirected
Fitzgerald_Damned,Wharton_Innocence,7,undirected
Fitzgerald_Gatsby,Fitzgerald_Damned,15,undirected
Fitzgerald_Gatsby,Fitzgerald_Tender,20,undirected
Fitzgerald_Gatsby,Lawrence_Sons,1,undirected
Fitzgerald_Gatsby,Twain_Sawyer,2,undirected
Fitzgerald_Gatsby,Wharton_Innocence,1,undirected
Fitzgerald_Tender,Fitzgerald_Damned,24,undirected
Fitzgerald_Tender,Fitzgerald_Gatsby,20,undirected
Fitzgerald_Tender,Lawrence_Rainbow,2,undirected
Fitzgerald_Tender,Lawrence_Sons,4,undirected
Fitzgerald_Tender,Lawrence_Women,4,undirected
Fitzgerald_Tender,Stein_Lives,7,undirected
Fitzgerald_Tender,Twain_Huckleberry,5,undirected
Fitzgerald_Tender,Twain_Sawyer,6,undirected
Fitzgerald_Tender,Wharton_House,1,undirected
Fitzgerald_Tender,Wharton_Innocence,12,undirected
Fitzgerald_Tender,Woolf_Dalloway,6,undirected
Fitzgerald_Tender,Woolf_Lighthouse,5,undirected
Fitzgerald_Tender,Woolf_Years,4,undirected
Lawrence_Rainbow,Fitzgerald_Tender,2,undirected
Lawrence_Rainbow,Lawrence_Sons,18,undirected
Lawrence_Rainbow,Lawrence_Women,24,undirected
Lawrence_Rainbow,Woolf_Lighthouse,2,undirected
Lawrence_Sons,Fitzgerald_Gatsby,1,undirected
Lawrence_Sons,Fitzgerald_Tender,4,undirected
Lawrence_Sons,Lawrence_Rainbow,18,undirected
Lawrence_Sons,Lawrence_Women,18,undirected
Lawrence_Sons,Stein_Lives,5,undirected
Lawrence_Women,Fitzgerald_Tender,4,undirected
Lawrence_Women,Lawrence_Rainbow,24,undirected
Lawrence_Women,Lawrence_Sons,18,undirected
Stein_Americans,Bronte_Shirley,1,undirected
Stein_Americans,Dickens_Expectations,1,undirected
Stein_Americans,Stein_Buttons,2,undirected
Stein_Americans,Stein_Lives,15,undirected
Stein_Americans,Wharton_Valley,3,undirected
Stein_Americans,Woolf_Dalloway,2,undirected
Stein_Americans,Woolf_Lighthouse,3,undirected
Stein_Buttons,Bronte_Shirley,4,undirected
Stein_Buttons,Bronte_Vilette,1,undirected
Stein_Buttons,Dickens_Expectations,3,undirected
Stein_Buttons,Stein_Americans,2,undirected
Stein_Buttons,Stein_Lives,1,undirected
Stein_Buttons,Twain_Huckleberry,4,undirected
Stein_Buttons,Twain_Sawyer,3,undirected
Stein_Buttons,Wharton_House,1,undirected
Stein_Buttons,Wharton_Valley,6,undirected
Stein_Buttons,Woolf_Lighthouse,1,undirected
Stein_Lives,Bronte_Shirley,2,undirected
Stein_Lives,Fitzgerald_Tender,7,undirected
Stein_Lives,Lawrence_Sons,5,undirected
Stein_Lives,Stein_Americans,15,undirected
Stein_Lives,Stein_Buttons,1,undirected
Stein_Lives,Twain_Huckleberry,5,undirected
Stein_Lives,Wharton_House,2,undirected
Twain_Huckleberry,Dickens_Expectations,7,undirected
Twain_Huckleberry,Fitzgerald_Tender,5,undirected
Twain_Huckleberry,Stein_Buttons,4,undirected
Twain_Huckleberry,Stein_Lives,5,undirected
Twain_Huckleberry,Twain_Sawyer,12,undirected
Twain_Prince,Bronte_Jane,2,undirected
Twain_Prince,Dickens_Oliver,1,undirected
Twain_Prince,Dickens_Tale,10,undirected
Twain_Prince,Twain_Sawyer,22,undirected
Twain_Prince,Wharton_Valley,1,undirected
Twain_Sawyer,Dickens_Expectations,5,undirected
Twain_Sawyer,Fitzgerald_Damned,1,undirected
Twain_Sawyer,Fitzgerald_Gatsby,2,undirected
Twain_Sawyer,Fitzgerald_Tender,6,undirected
Twain_Sawyer,Stein_Buttons,3,undirected
Twain_Sawyer,Twain_Huckleberry,12,undirected
Twain_Sawyer,Twain_Prince,22,undirected
Wharton_House,Bronte_Shirley,1,undirected
Wharton_House,Bronte_Vilette,3,undirected
Wharton_House,Fitzgerald_Damned,1,undirected
Wharton_House,Fitzgerald_Tender,1,undirected
Wharton_House,Stein_Buttons,1,undirected
Wharton_House,Stein_Lives,2,undirected
Wharton_House,Wharton_Innocence,24,undirected
Wharton_House,Wharton_Valley,20,undirected
Wharton_Innocence,Fitzgerald_Damned,7,undirected
Wharton_Innocence,Fitzgerald_Gatsby,1,undirected
Wharton_Innocence,Fitzgerald_Tender,12,undirected
Wharton_Innocence,Wharton_House,24,undirected
Wharton_Innocence,Wharton_Valley,8,undirected
Wharton_Innocence,Woolf_Dalloway,2,undirected
Wharton_Innocence,Woolf_Lighthouse,1,undirected
Wharton_Valley,Bronte_Vilette,7,undirected
Wharton_Valley,Stein_Americans,3,undirected
Wharton_Valley,Stein_Buttons,6,undirected
Wharton_Valley,Twain_Prince,1,undirected
Wharton_Valley,Wharton_House,20,undirected
Wharton_Valley,Wharton_Innocence,8,undirected
Woolf_Dalloway,Fitzgerald_Tender,6,undirected
Woolf_Dalloway,Stein_Americans,2,undirected
Woolf_Dalloway,Wharton_Innocence,2,undirected
Woolf_Dalloway,Woolf_Lighthouse,24,undirected
Woolf_Dalloway,Woolf_Years,13,undirected
Woolf_Lighthouse,Fitzgerald_Tender,5,undirected
Woolf_Lighthouse,Lawrence_Rainbow,2,undirected
Woolf_Lighthouse,Stein_Americans,3,undirected
Woolf_Lighthouse,Stein_Buttons,1,undirected
Woolf_Lighthouse,Wharton_Innocence,1,undirected
Woolf_Lighthouse,Woolf_Dalloway,24,undirected
Woolf_Lighthouse,Woolf_Years,17,undirected
Woolf_Years,Fitzgerald_Tender,4,undirected
Woolf_Years,Woolf_Dalloway,13,undirected
Woolf_Years,Woolf_Lighthouse,17,undirected
